state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword,error
MA,shared equity,S11,https://malegislature.gov/Bills/194/S11,Proposal for Constitutional Amendment S.11,S11,Unknown,True,False,
MA,shared equity,S12,https://malegislature.gov/Bills/194/S12,Proposal for Constitutional Amendment S.12,S12,Unknown,True,False,
MA,shared equity,S13,https://malegislature.gov/Bills/194/S13,Proposal for Constitutional Amendment S.13,S13,Unknown,True,False,
MA,shared equity,S14,https://malegislature.gov/Bills/194/S14,Report S.14,S14,Unknown,True,False,
MA,shared equity,S15,https://malegislature.gov/Bills/194/S15,Report S.15,S15,Unknown,True,False,
MA,shared equity,S16,https://malegislature.gov/Bills/194/S16,Amendment S.16,S16,Unknown,True,False,
MA,shared equity,S17,https://malegislature.gov/Bills/194/S17,Amendment S.17,S17,Amended,True,False,
MA,shared equity,S18,https://malegislature.gov/Bills/194/S18,Report S.18,S18,Amended,True,False,
MA,shared equity,S19,https://malegislature.gov/Bills/194/S19,Report S.19,S19,Amended,True,False,
MA,shared equity,S20,https://malegislature.gov/Bills/194/S20,Bill S.20,S20,Unknown,True,False,
MA,shared equity,S21,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,True,False,
MA,shared equity,S22,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,True,False,
MA,shared equity,S23,https://malegislature.gov/Bills/194/S23,Bill S.23,S23,Unknown,True,False,
MA,shared equity,S24,https://malegislature.gov/Bills/194/S24,Bill S.24,S24,Unknown,True,False,
MA,shared equity,S25,https://malegislature.gov/Bills/194/S25,Bill S.25,S25,Unknown,True,False,
MA,surplus land,H1,https://malegislature.gov/Bills/194/H1,Bill H.1,H1,Unknown,True,False,
MA,surplus land,H2,https://malegislature.gov/Bills/194/H2,Bill H.2,H2,Unknown,True,False,
MA,surplus land,H3,https://malegislature.gov/Bills/194/H3,Letter of Transmittal H.3,H3,Unknown,True,False,
MA,surplus land,H4,https://malegislature.gov/Bills/194/H4,Bill H.4,H4,Unknown,True,False,
MA,surplus land,H5,https://malegislature.gov/Bills/194/H5,Bill H.5,H5,Unknown,True,False,
MA,surplus land,H6,https://malegislature.gov/Bills/194/H6,Bill H.6,H6,Unknown,True,False,
MA,surplus land,H7,https://malegislature.gov/Bills/194/H7,Bill H.7,H7,Unknown,True,False,
MA,surplus land,H8,https://malegislature.gov/Bills/194/H8,Bill H.8,H8,Unknown,True,False,
MA,surplus land,H9,https://malegislature.gov/Bills/194/H9,Bill H.9,H9,Unknown,True,False,
MA,surplus land,H10,https://malegislature.gov/Bills/194/H10,Bill H.10,H10,Unknown,True,False,
MA,surplus land,H11,https://malegislature.gov/Bills/194/H11,Letter of Transmittal H.11,H11,Unknown,True,False,
MA,surplus land,H12,https://malegislature.gov/Bills/194/H12,Bill H.12,H12,Unknown,True,False,
MA,surplus land,H13,https://malegislature.gov/Bills/194/H13,Bill H.13,H13,Unknown,True,False,
MA,surplus land,H14,https://malegislature.gov/Bills/194/H14,Bill H.14,H14,Unknown,True,False,
MA,surplus land,H15,https://malegislature.gov/Bills/194/H15,Bill H.15,H15,Unknown,True,False,
MA,surplus land,H16,https://malegislature.gov/Bills/194/H16,Bill H.16,H16,Unknown,True,False,
MA,surplus land,H17,https://malegislature.gov/Bills/194/H17,Bill H.17,H17,Unknown,True,False,
MA,surplus land,H18,https://malegislature.gov/Bills/194/H18,Letter of Transmittal H.18,H18,Unknown,True,False,
MA,surplus land,H19,https://malegislature.gov/Bills/194/H19,Bill H.19,H19,Unknown,True,False,
MA,surplus land,H20,https://malegislature.gov/Bills/194/H20,Bill H.20,H20,Unknown,True,False,
MA,surplus land,H21,https://malegislature.gov/Bills/194/H21,Bill H.21,H21,Unknown,True,False,
MA,surplus land,H22,https://malegislature.gov/Bills/194/H22,Bill H.22,H22,Unknown,True,False,
MA,surplus land,H23,https://malegislature.gov/Bills/194/H23,Bill H.23,H23,Unknown,True,False,
MA,surplus land,H24,https://malegislature.gov/Bills/194/H24,Bill H.24,H24,Unknown,True,False,
MA,surplus land,H25,https://malegislature.gov/Bills/194/H25,Bill H.25,H25,Unknown,True,False,
MA,surplus land,S1,https://malegislature.gov/Bills/194/S1,Governor's Message (Communication) S.1,S1,Unknown,True,False,
MA,surplus land,S2,https://malegislature.gov/Bills/194/S2,Governor's Message (Communication) S.2,S2,Unknown,True,False,
MA,surplus land,S3,https://malegislature.gov/Bills/194/S3,Amendment S.3,S3,Unknown,True,False,
MA,surplus land,S4,https://malegislature.gov/Bills/194/S4,,,,False,False,RetryError[<Future at 0x11cb04fb0 state=finished raised HTTPError>]
MA,surplus land,S5,https://malegislature.gov/Bills/194/S5,Order S.5,S5,Unknown,True,False,
MA,surplus land,S6,https://malegislature.gov/Bills/194/S6,Proposal for Constitutional Amendment S.6,S6,Unknown,True,False,
MA,surplus land,S7,https://malegislature.gov/Bills/194/S7,Proposal for Constitutional Amendment S.7,S7,Unknown,True,False,
MA,surplus land,S8,https://malegislature.gov/Bills/194/S8,Proposal for Constitutional Amendment S.8,S8,Unknown,True,False,
MA,surplus land,S9,https://malegislature.gov/Bills/194/S9,Proposal for Constitutional Amendment S.9,S9,Unknown,True,False,
MA,surplus land,S10,https://malegislature.gov/Bills/194/S10,Proposal for Constitutional Amendment S.10,S10,Unknown,True,False,
MA,surplus land,S11,https://malegislature.gov/Bills/194/S11,Proposal for Constitutional Amendment S.11,S11,Unknown,True,False,
MA,surplus land,S12,https://malegislature.gov/Bills/194/S12,Proposal for Constitutional Amendment S.12,S12,Unknown,True,False,
MA,surplus land,S13,https://malegislature.gov/Bills/194/S13,Proposal for Constitutional Amendment S.13,S13,Unknown,True,False,
MA,surplus land,S14,https://malegislature.gov/Bills/194/S14,Report S.14,S14,Unknown,True,False,
MA,surplus land,S15,https://malegislature.gov/Bills/194/S15,Report S.15,S15,Unknown,True,False,
MA,surplus land,S16,https://malegislature.gov/Bills/194/S16,Amendment S.16,S16,Unknown,True,False,
MA,surplus land,S17,https://malegislature.gov/Bills/194/S17,Amendment S.17,S17,Amended,True,False,
MA,surplus land,S18,https://malegislature.gov/Bills/194/S18,Report S.18,S18,Amended,True,False,
MA,surplus land,S19,https://malegislature.gov/Bills/194/S19,Report S.19,S19,Amended,True,False,
MA,surplus land,S20,https://malegislature.gov/Bills/194/S20,Bill S.20,S20,Unknown,True,False,
MA,surplus land,S21,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,True,False,
MA,surplus land,S22,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,True,False,
MA,surplus land,S23,https://malegislature.gov/Bills/194/S23,Bill S.23,S23,Unknown,True,False,
MA,surplus land,S24,https://malegislature.gov/Bills/194/S24,Bill S.24,S24,Unknown,True,False,
MA,surplus land,S25,https://malegislature.gov/Bills/194/S25,Bill S.25,S25,Unknown,True,False,
